EAN,Brand Color,PurchasePriceExclVAT,RecommendedPriceInclVAT
842142102903,,"65,00","1 500,00"
842142102910,,"95,00","2 300,00"
842142102927,,"145,00","3 500,00"
842142102934,,"216,00","5 000,00"
842142102941,,"320,00","7 000,00"
842142111523,,"65,00","1 500,00"
842142102958,,"95,00","2 300,00"
842142102965,,"145,00","3 500,00"
842142102972,,"216,00","5 000,00"
842142102989,,"320,00","7 000,00"
842142102996,,"32,00","775,00"
842142103009,,"42,00","1 000,00"
842142103016,,"32,00","775,00"
842142103023,,"42,00","1 000,00"
842142103542,,"1,90","50,00"
842142103559,,"1,90","50,00"
842142103566,,"4,60","125,00"
842142103573,,"4,60","125,00"
842142103146,,"85,00","2 000,00"
842142103153,,"120,00","2 900,00"
842142103160,,"180,00","4 300,00"
842142103177,,"260,00","5 500,00"
842142108875,,"395,00","8 500,00"
842142103184,,"85,00","2 000,00"
842142103191,,"120,00","2 900,00"
842142103207,,"180,00","4 300,00"
842142103214,,"260,00","5 500,00"
842142108882,,"395,00","8 500,00"
842142103221,,"325,00","7 000,00"
842142103238,,"425,00","9 000,00"
842142103245,,"625,00","13 000,00"
842142103252,,"810,00","17 000,00"
842142103306,,"45,00","1 000,00"
842142110946,,"65,00","1 500,00"
842142103313,,"85,00","2 000,00"
842142110229,,"45,00","1 000,00"
842142110953,,"65,00","1 500,00"
842142110236,,"85,00","2 000,00"
842142103580,,"1,50","40,00"
842142110786,,"1,00","25,00"
842142103597,,"1,50","40,00"
842142110793,,"1,00","25,00"
